nom,ref,marque,modele,categorie,co2,nb_km,carburant,boite_vitesse,couleur,nb_portes,nb_places,mise_circulation,conso_mixte,p_fiscale,p_din,critair,prix
Peugeot 2008,12002608199285,Peugeot,2008,Suv 4x4,B,41680,Essence,Manuelle,Gris hurricane,5,5,2017,4.9,4,82,1,13206
Peugeot 2008,12002615199291,Peugeot,2008,Suv 4x4,B,26680,Essence,Manuelle,Gris platinium,5,5,2017,4.9,4,82,1,15858
Peugeot 2008,12002631199321,Peugeot,2008,Suv 4x4,B,45000,Essence,Manuelle,Gris hurricane,5,5,2017,4.4,5,110,1,16776
Peugeot 2008,12002312199323,Peugeot,2008,Suv 4x4,B,37710,Essence,Auto,Noir perla nera,5,5,2017,4.8,6,110,1,16776
Peugeot 2008,12002698199580,Peugeot,2008,Suv 4x4,B,59131,Essence,Manuelle,Gris platinium,5,5,2017,4.9,4,82,1,13206
Peugeot 2008,12002749199657,Peugeot,2008,Suv 4x4,B,6885,Essence,Auto,Gris hurricane,5,5,2019,0.0,6,130,1,20346
Peugeot 2008,12002749199658,Peugeot,2008,Suv 4x4,B,5489,Essence,Auto,Gris hurricane,5,5,2019,0.0,6,130,1,20346
Peugeot 2008,12002909199905,Peugeot,2008,Suv 4x4,B,44980,Essence,Manuelle,Gris artense,5,5,2017,4.9,4,82,1,13716
Peugeot 2008,12002911199907,Peugeot,2008,Suv 4x4,B,25980,Essence,Manuelle,Spirit grey,5,5,2017,4.9,4,82,1,14226
Peugeot 2008,12002914199908,Peugeot,2008,Suv 4x4,B,50190,Essence,Manuelle,Gris hurricane,5,5,2017,4.9,4,82,1,13716
Peugeot 2008,12002918199910,Peugeot,2008,Suv 4x4,B,36720,Essence,Manuelle,Spirit grey,5,5,2017,4.9,4,82,1,15246
Peugeot 2008,12002921199913,Peugeot,2008,Suv 4x4,B,40744,Essence,Auto,Blanc banquise,5,5,2017,4.8,6,110,1,16776
Peugeot 2008,12003006200289,Peugeot,2008,Suv 4x4,A,52355,Diesel,Manuelle,Gris artense,5,5,2016,3.7,5,100,2,14526
Peugeot 2008,12003289201504,Peugeot,2008,Suv 4x4,B,41130,Essence,Auto,Blanc banquise,5,5,2017,4.4,4,82,1,14226
Peugeot 2008,12002608201505,Peugeot,2008,Suv 4x4,B,30290,Essence,Manuelle,Gris hurricane,5,5,2017,4.9,4,82,1,13512
Peugeot 2008,12003290201506,Peugeot,2008,Suv 4x4,B,44680,Essence,Manuelle,Blanc banquise,5,5,2017,4.9,4,82,1,13206
Peugeot 2008,12003293201508,Peugeot,2008,Suv 4x4,B,33920,Essence,Auto,Rouge ultimate,5,5,2017,4.4,4,82,1,16266
Peugeot 2008,11911545201509,Peugeot,2008,Suv 4x4,B,20751,Essence,Manuelle,Gris hurricane,5,5,2017,4.9,4,82,1,15858
Peugeot 2008,12002306201515,Peugeot,2008,Suv 4x4,B,42600,Essence,Auto,Rouge ultimate,5,5,2017,4.8,6,110,1,16776
Peugeot 2008,12002306201516,Peugeot,2008,Suv 4x4,B,31750,Essence,Auto,Rouge ultimate,5,5,2017,4.8,6,110,1,17082
Peugeot 2008,12003295201517,Peugeot,2008,Suv 4x4,B,57920,Essence,Auto,Gris hurricane,5,5,2017,4.8,6,110,1,16266
Peugeot 2008,12003741202890,Peugeot,2008,Suv 4x4,A,9945,Diesel,Manuelle,Noir perla nera,5,5,2019,3.5,5,102,2,19836
Peugeot 2008,12003749202892,Peugeot,2008,Suv 4x4,B,2664,Essence,Auto,Noir perla nera,5,5,2019,5.5,6,110,1,19326
Peugeot 2008,12003749202893,Peugeot,2008,Suv 4x4,B,3258,Essence,Auto,Noir perla nera,5,5,2019,5.5,6,110,1,19326
Peugeot 2008,12003838202946,Peugeot,2008,Suv 4x4,B,4903,Essence,Auto,Noir perla nera,5,5,2019,5.5,6,110,1,19836
Peugeot 2008,12003897203013,Peugeot,2008,Suv 4x4,B,36420,Essence,Manuelle,Noir perla nera,5,5,2017,4.4,5,110,1,16776
Peugeot 2008,11911545203015,Peugeot,2008,Suv 4x4,B,41800,Essence,Manuelle,Gris hurricane,5,5,2017,4.9,4,82,1,15042
Peugeot 2008,12002909203124,Peugeot,2008,Suv 4x4,B,47290,Essence,Manuelle,Noir perla nera,5,5,2017,4.9,4,82,1,13512
Peugeot 2008,12002608203125,Peugeot,2008,Suv 4x4,B,45550,Essence,Manuelle,Gris hurricane,5,5,2017,4.9,4,82,1,13104
Peugeot 2008,11911574203126,Peugeot,2008,Suv 4x4,B,42010,Essence,Auto,Gris platinium,5,5,2017,4.8,6,110,1,15756
Peugeot 2008,12003838203336,Peugeot,2008,Suv 4x4,B,3519,Essence,Auto,Noir perla nera,5,5,2019,5.5,6,110,1,20040
Peugeot 2008,12004172203491,Peugeot,2008,Suv 4x4,A,6349,Diesel,Manuelle,Gris platinium,5,5,2019,3.5,5,102,2,19326
Peugeot 2008,12004181203494,Peugeot,2008,Suv 4x4,A,4648,Diesel,Manuelle,Noir perla nera,5,5,2019,3.5,5,102,2,21366
Peugeot 2008,12004181203495,Peugeot,2008,Suv 4x4,A,4450,Diesel,Manuelle,Gris platinium,5,5,2019,3.5,5,102,2,21366
Peugeot 2008,12004188203504,Peugeot,2008,Suv 4x4,A,5766,Diesel,Manuelle,Gris artense,5,5,2019,3.5,5,102,2,19836
Peugeot 2008,12003853203580,Peugeot,2008,Suv 4x4,B,9770,Essence,Manuelle,Noir perla nera,5,5,2019,5.1,7,130,1,19734
Peugeot 2008,12004296203831,Peugeot,2008,Suv 4x4,B,6871,Essence,Auto,Gris artense,5,5,2019,5.5,6,110,1,19326
Peugeot 208,11911596198137,Peugeot,208,Citadine,A,62278,Diesel,Manuelle,Noir perla nera,5,5,2017,3.5,4,100,2,12492
Peugeot 208,11911596198138,Peugeot,208,Citadine,A,32394,Diesel,Manuelle,Dark blue,5,5,2017,3.5,4,100,2,13716
Peugeot 208,11911596198139,Peugeot,208,Citadine,A,42789,Diesel,Manuelle,Gris shark,5,5,2017,3.5,4,100,2,13206
Peugeot 208,11911596198155,Peugeot,208,Citadine,A,59833,Diesel,Manuelle,Gris aluminium,5,5,2017,3.5,4,100,2,12594
Peugeot 208,11911596198156,Peugeot,208,Citadine,A,51195,Diesel,Manuelle,Gris shark,5,5,2017,3.5,4,100,2,12798
Peugeot 208,11911596198158,Peugeot,208,Citadine,A,52539,Diesel,Manuelle,Gris shark,5,5,2017,3.5,4,100,2,12798
Peugeot 208,12002261199240,Peugeot,208,Citadine,A,52858,Diesel,Manuelle,Noir perla nera,5,5,2017,3.5,4,100,2,13104
Peugeot 208,12002261199241,Peugeot,208,Citadine,A,69521,Diesel,Manuelle,Noir perla nera,5,5,2017,3.5,4,100,2,12798
Peugeot 208,12002261199834,Peugeot,208,Citadine,A,36594,Diesel,Manuelle,Gris shark,5,5,2017,3.5,4,100,2,13716
Peugeot 208,11911596199835,Peugeot,208,Citadine,A,15917,Diesel,Manuelle,Noir perla nera,5,5,2017,3.5,4,100,2,14634
Peugeot 208,12002882199836,Peugeot,208,Citadine,A,43163,Diesel,Manuelle,Gris aluminium,5,5,2017,3.5,4,100,2,13206
Peugeot 208,12002593201486,Peugeot,208,Citadine,B,23880,Essence,Manuelle,Gris hurricane,5,5,2017,4.5,4,82,1,13206
Peugeot 208,11911596201487,Peugeot,208,Citadine,A,44619,Diesel,Manuelle,Bleu virtuel,5,5,2017,3.5,4,100,2,13206
Peugeot 208,11911596201488,Peugeot,208,Citadine,A,56562,Diesel,Manuelle,Gris aluminium,5,5,2017,3.5,4,100,2,12696
Peugeot 208,12002605201503,Peugeot,208,Citadine,B,24480,Essence,Manuelle,Gris hurricane,5,5,2017,4.5,4,82,1,13308
Peugeot 208,12003673202512,Peugeot,208,Citadine,B,12216,Essence,Manuelle,Noir perla nera,5,5,2019,4.7,4,82,1,15246
Peugeot 208,12003673203077,Peugeot,208,Citadine,B,6944,Essence,Manuelle,Gris artense,5,5,2019,4.7,4,82,1,15756
Peugeot 208,12002243203080,Peugeot,208,Citadine,B,42890,Essence,Manuelle,Ice grey,5,5,2017,4.5,4,82,1,12186
Peugeot 208,12003930203096,Peugeot,208,Citadine,A,61942,Diesel,Manuelle,Noir perla nera,5,5,2017,3.5,4,100,2,12186
Peugeot 208,12003930203097,Peugeot,208,Citadine,A,47140,Diesel,Manuelle,Noir perla nera,5,5,2017,3.5,4,100,2,12696
Peugeot 208,12003692203487,Peugeot,208,Citadine,B,5334,Essence,Manuelle,Dark blue,5,5,2019,4.7,4,82,1,15042
Citroën grand c4 spacetourer,12001629197549,Citroën,Grand c4 spacetourer,Monospace,B,3871,Essence,Manuelle,Gris acier,5,7,2019,0.0,7,130,1,25956
Peugeot 208,11908163194118,Peugeot,208,Citadine,A,17329,Diesel,Manuelle,Noir perla nera,5,5,2016,3.5,4,100,2,14226
Peugeot 208,11908157194129,Peugeot,208,Citadine,A,33000,Diesel,Manuelle,Noir perla nera,5,5,2017,3.5,4,100,2,14124
Peugeot 208,11908157194134,Peugeot,208,Citadine,A,80302,Diesel,Manuelle,Gris shark,5,5,2017,3.5,4,100,2,12186
Peugeot 208,11908157197551,Peugeot,208,Citadine,A,48122,Diesel,Manuelle,Noir perla nera,5,5,2017,3.5,4,100,2,13002
Peugeot 208,12002142197751,Peugeot,208,Citadine,A,39146,Diesel,Manuelle,Noir perla nera,3,5,2017,3.5,4,75,2,12996
Peugeot 208,11911596198129,Peugeot,208,Citadine,A,44309,Diesel,Manuelle,Gris shark,5,5,2017,3.5,4,100,2,13206
Peugeot 208,11911596198130,Peugeot,208,Citadine,A,23777,Diesel,Manuelle,Dark blue,5,5,2017,3.5,4,100,2,14226
