nom,ref,marque,modele,categorie,co2,nb_km,carburant,boite_vitesse,couleur,nb_portes,nb_places,mise_circulation,conso_mixte,p_fiscale,p_din,critair,prix
Renault clio 5,Réf. pro : 492 | réf. annonce : w101704266,Renault,Clio 5,Citadine,A,1230.0,Diesel,Manuelle,Rouge metal,5.0,5.0,2020,3.6,4.0,85,1.0,21520
Renault espace 5,Réf. annonce : b101189575,Renault,Espace 5,Monospace,B,59895.0,Diesel,Auto,Noir metal,5.0,7.0,2018,4,8.0,161,2.0,30120
Renault kadjar,Réf. annonce : b101155333,Renault,Kadjar,Suv 4x4,C,80115.0,Essence,Manuelle,Blanc nacre,5.0,5.0,2016,5,7.0,131,1.0,14490
Renault captur,Réf. annonce : b101156696,Renault,Captur,Suv 4x4,C,17869.0,Essence,Manuelle,Bleu marine metal,5.0,5.0,2020,5,5.0,90,1.0,12730
Renault clio 4,Réf. annonce : b101194267,Renault,Clio 4,Citadine,B,15696.0,Essence,Manuelle,Rouge metal,5.0,5.0,2019,5,5.0,90,1.0,13080
Renault clio 3,Réf. annonce : b101193517,Renault,Clio 3,Citadine,C,77587.0,Essence,Manuelle,Gris clair metal,5.0,5.0,2013,5,6.0,103,1.0,7220
Renault laguna 3,Réf. annonce : b101179522,Renault,Laguna 3,Berline,B,269134.0,Diesel,Manuelle,Gris clair metal,5.0,5.0,2013,4,6.0,110,2.0,3690
Renault clio 5,Réf. annonce : b101180861,Renault,Clio 5,Citadine,A,61.0,Essence,Manuelle,Rouge metal,5.0,5.0,2020,4,5.0,101,1.0,24270
Renault clio 5,Réf. pro : 571renvo183592_p207100846 | réf. annonce : e106258446,Renault,Clio 5,Citadine,B,878.0,Essence,Auto,Bleu,5.0,5.0,2020,5.2,7.0,131,1.0,25720
Renault scenic 4,Réf. pro : pkid_29040 | réf. annonce : e106476322,Renault,Scenic 4,Monospace,C,12.0,Diesel,Auto,Gris c to noir,5.0,5.0,2020,Nan,6.0,0,1.0,29350
Renault avantime,Réf. annonce : w101348309,Renault,Avantime,Monospace,E,246167.0,Diesel,Manuelle,Beige metal,3.0,5.0,2004,7,9.0,149,4.0,8100
Renault clio 5,Réf. pro : 5467 | réf. annonce : e106207266,Renault,Clio 5,Citadine,A,1.0,Essence,Manuelle,Rouge,5.0,5.0,2020,4.4,5.0,101,1.0,21520
Renault clio 4,Réf. pro : bebi_2664 | réf. annonce : e106529358,Renault,Clio 4,Citadine,B,5.0,Essence,Manuelle,Gris titanium,5.0,5.0,2020,5,5.0,90,1.0,13590
Renault safrane,Réf. annonce : w101735796,Renault,Safrane,Berline,F,144300.0,Essence,Manuelle,Gris clair metal,5.0,5.0,2000,Nan,9.0,136,3.0,1650
Renault captur,Réf. pro : jonz_capturbnj | réf. annonce : e106404461,Renault,Captur,Suv 4x4,C,32937.0,Essence,Manuelle,Blanc nacre,5.0,5.0,2018,5.5,6.0,120,1.0,17700
Renault captur,Réf. pro : 567renvo224659_p206700687 | réf. annonce : e106467984,Renault,Captur,Suv 4x4,C,6566.0,Essence,Auto,Noir,5.0,5.0,2020,5.5,8.0,150,1.0,24550
Renault captur,Réf. pro : 572renvo166082_c207200590 | réf. annonce : e106459248,Renault,Captur,Suv 4x4,B,34283.0,Essence,Manuelle,Gris,5.0,5.0,2018,5.1,5.0,90,1.0,15080
Renault megane 4,Réf. pro : 572renvo163585_p197203060 | réf. annonce : e105725939,Renault,Megane 4,Berline,C,19277.0,Essence,Auto,Gris,5.0,5.0,2020,5.5,7.0,140,1.0,20310
Renault captur,Réf. pro : 553renvo181252_x205300273 | réf. annonce : e106183389,Renault,Captur,Suv 4x4,C,7856.0,Essence,Manuelle,Gris,5.0,5.0,2020,5.4,5.0,90,1.0,17430
Renault scenic 4,Réf. pro : pkid_29818 | réf. annonce : e106470058,Renault,Scenic 4,Monospace,D,11.0,Diesel,Auto,Gris c to noir,5.0,5.0,2020,Nan,6.0,0,1.0,27650
Renault clio 5,Réf. pro : 0331u0000579 | réf. annonce : e105896672,Renault,Clio 5,Citadine,B,11.0,Essence,Manuelle,Bleu clair,5.0,5.0,2020,4.9,4.0,75,1.0,14170
Renault twingo 3,Réf. pro : pe84c2_25418 | réf. annonce : e106471596,Renault,Twingo 3,Citadine,A,47844.0,Essence,Manuelle,Blanc,5.0,4.0,2018,4.3,4.0,90,1.0,11330
Renault captur,Réf. pro : pkid_29931 | réf. annonce : e106435056,Renault,Captur,Suv 4x4,C,12.0,Essence,Manuelle,Beige ivoire,5.0,5.0,2020,Nan,5.0,0,1.0,15720
Renault scenic 3,Réf. pro : 571renvo182796_a207100664_rrgprixfute05 | réf. annonce : e106518292,Renault,Scenic 3,Monospace,C,96038.0,Diesel,Manuelle,Gris,5.0,5.0,2011,5.1,6.0,106,3.0,9790
Renault megane 4,Réf. pro : 139013 | réf. annonce : e106486736,Renault,Megane 4,Berline,B,12.0,Diesel,Manuelle,Noir,5.0,5.0,2020,Nan,6.0,0,1.0,24920
Renault kadjar,Réf. pro : 571renvo181897_t207100264 | réf. annonce : e106311802,Renault,Kadjar,Suv 4x4,B,8736.0,Diesel,Manuelle,Blanc,5.0,5.0,2020,4.3,6.0,116,2.0,23800
Renault captur,Réf. annonce : w101673918,Renault,Captur,Suv 4x4,B,15385.0,Diesel,Auto,Gris clair verni,5.0,5.0,2019,4,5.0,90,2.0,21340
Renault captur,Réf. pro : 5nqg7 | réf. annonce : e105714471,Renault,Captur,Suv 4x4,C,25184.0,Essence,Auto,Platine,5.0,5.0,2020,5.5,8.0,150,1.0,15640
Renault captur,Réf. pro : 553renvo181442_x205300414 | réf. annonce : e106467978,Renault,Captur,Suv 4x4,C,7413.0,Essence,Manuelle,Rouge,5.0,5.0,2020,5.6,8.0,150,1.0,19410
Renault captur,Réf. pro : 1250 | réf. annonce : w101380108,Renault,Captur,Suv 4x4,C,6482.0,Essence,Manuelle,Rouge metal,5.0,5.0,2019,5.5,5.0,90,1.0,18740
Renault captur,Réf. pro : 583renvo215073_g208300449 | réf. annonce : e106199582,Renault,Captur,Suv 4x4,A,63884.0,Diesel,Manuelle,Bleu,5.0,5.0,2016,3.6,4.0,90,2.0,13440
Renault captur,Réf. pro : etsm_108261 | réf. annonce : e106437064,Renault,Captur,Suv 4x4,A,71996.0,Diesel,Manuelle,Orange,5.0,5.0,2016,3.6,4.0,90,2.0,12520
Renault kadjar,Réf. pro : 571renvo181069_g197104040 | réf. annonce : e105667372,Renault,Kadjar,Suv 4x4,B,21943.0,Diesel,Manuelle,Gris,5.0,5.0,2020,4.4,6.0,116,2.0,21020
Renault grand scenic 4,Réf. pro : pkid_29786 | réf. annonce : e106421682,Renault,Grand scenic 4,Monospace,D,12.0,Diesel,Auto,Gris p to noir,5.0,5.0,2020,Nan,6.0,0,1.0,31520
Renault clio 4,Réf. pro : 571renvo182314_g207100151 | réf. annonce : e105981725,Renault,Clio 4,Citadine,B,11877.0,Diesel,Manuelle,Gris,5.0,5.0,2020,4,4.0,75,2.0,14110
Renault scenic 3,Réf. pro : 149638 | réf. annonce : e106435747,Renault,Scenic 3,Monospace,B,97724.0,Diesel,Manuelle,Rouge,5.0,5.0,2016,4.4,7.0,131,2.0,13210
Renault captur,Réf. pro : 559renvo174501_a205900616 | réf. annonce : e106234558,Renault,Captur,Suv 4x4,A,24555.0,Diesel,Manuelle,Gris,5.0,5.0,2018,3.6,4.0,90,2.0,14280
Renault megane 3,Réf. pro : 580renvo217160_g208000396 | réf. annonce : e106475952,Renault,Megane 3,Berline,A,24074.0,Diesel,Manuelle,Gris,5.0,5.0,2016,3.5,5.0,110,2.0,11950
Renault clio 4,Réf. pro : 181876 | réf. annonce : e106441121,Renault,Clio 4,Citadine,B,72838.0,Essence,Manuelle,Noir,5.0,5.0,2014,4.5,5.0,90,1.0,10000
Renault captur,Réf. pro : 553renvo181311_x205300314 | réf. annonce : e106266279,Renault,Captur,Suv 4x4,C,9599.0,Essence,Manuelle,Rouge,5.0,5.0,2020,5.4,5.0,90,1.0,18120
Renault clio 4,Réf. pro : jn54c2_25972 | réf. annonce : e106336284,Renault,Clio 4,Citadine,A,88343.0,Diesel,Manuelle,Blanc,5.0,5.0,2015,3.6,4.0,75,2.0,9700
Renault grand scenic 4,Réf. pro : pkid_29526 | réf. annonce : e106103639,Renault,Grand scenic 4,Monospace,C,12.0,Diesel,Auto,Blanc g to noir,5.0,5.0,2020,Nan,6.0,0,1.0,29970
Renault grand scenic 4,Réf. pro : 583renvo215772_p208300583 | réf. annonce : e106455579,Renault,Grand scenic 4,Monospace,C,23705.0,Diesel,Manuelle,Blanc,5.0,7.0,2019,5.8,8.0,150,2.0,30360
Renault scenic 3,Réf. pro : vwwp_1713 | réf. annonce : e105791046,Renault,Scenic 3,Monospace,C,117420.0,Diesel,Auto,Beige,5.0,5.0,2013,4.7,6.0,110,2.0,12520
Renault captur,Réf. pro : 580renvo216954_x208000329 | réf. annonce : e106162455,Renault,Captur,Suv 4x4,A,17148.0,Diesel,Manuelle,Gris,5.0,5.0,2019,3.7,5.0,110,2.0,19290
Renault kadjar,Réf. annonce : w101735209,Renault,Kadjar,Suv 4x4,C,11.0,Essence,Auto,Noir metal,5.0,5.0,2020,5.8,7.0,140,1.0,23380
Renault kadjar,Réf. pro : 0331u0000635 | réf. annonce : e106322042,Renault,Kadjar,Suv 4x4,C,13.0,Diesel,Manuelle,Rouge foncé,5.0,5.0,2020,5.2,8.0,150,2.0,36180
Renault twingo 3,Réf. pro : asm1_58940 | réf. annonce : e105872566,Renault,Twingo 3,Citadine,B,24739.0,Essence,Manuelle,Blanc,5.0,4.0,2017,4.7,4.0,70,1.0,11180
Renault grand scenic 4,Réf. pro : pkid_29056 | réf. annonce : e106368714,Renault,Grand scenic 4,Monospace,C,11.0,Diesel,Auto,Gris c to noir,5.0,5.0,2020,Nan,6.0,0,1.0,28940
Renault captur,Réf. pro : 553renvo181099_a205300266 | réf. annonce : e106176764,Renault,Captur,Suv 4x4,B,45854.0,Essence,Manuelle,Gris,5.0,5.0,2018,5.1,5.0,90,1.0,16610
Renault captur,Réf. pro : 571renvo183031_g207100565 | réf. annonce : e106093478,Renault,Captur,Suv 4x4,B,27454.0,Diesel,Manuelle,Blanc,5.0,5.0,2020,4.2,5.0,90,2.0,20730
Renault clio 5,Réf. pro : mo9o2o7 | réf. annonce : e106279221,Renault,Clio 5,Citadine,A,1.0,Essence,Manuelle,Orange,5.0,5.0,2020,4.4,5.0,100,1.0,17190
